GEOID,STUSPS,NAME,STATE_NAME,STATEFP,COUNTYFP,COUNTYNS,POP,TOTAL_BUILDINGS,BUILDINGS_FRACTION_ME,BUILDINGS_FRACTION_IE,BUILDINGS_FRACTION_DE,BP_STATE_RANK,BP_NATIONAL_RANK,RISK_STATE_RANK,RISK_NATIONAL_RANK
01001,AL,"Autauga County, AL",Alabama,1,1,161526,58761,30450,8.27%,23.28%,68.45%,33.30%,50.50%,34.80%,48.10%
01003,AL,"Baldwin County, AL",Alabama,1,3,161527,233420,120300,7.07%,27.26%,65.68%,92.40%,84.10%,93.90%,81.80%
01005,AL,"Barbour County, AL",Alabama,1,5,161528,24877,18131,0.49%,21.06%,78.46%,45.50%,56.40%,47.00%,54.30%
01007,AL,"Bibb County, AL",Alabama,1,7,161529,22251,15033,0.01%,9.36%,90.63%,50.00%,61.50%,51.50%,58.20%
01009,AL,"Blount County, AL",Alabama,1,9,161530,59077,39896,0.17%,8.70%,91.12%,69.70%,70.60%,69.70%,65.40%
01011,AL,"Bullock County, AL",Alabama,1,11,161531,10328,7927,0.05%,15.49%,84.46%,56.10%,64.00%,54.50%,61.00%
01013,AL,"Butler County, AL",Alabama,1,13,161532,18981,16032,0.00%,10.46%,89.54%,25.80%,47.10%,27.30%,44.50%
01015,AL,"Calhoun County, AL",Alabama,1,15,161533,116162,66791,3.56%,25.89%,70.55%,87.90%,82.60%,87.90%,78.10%
01017,AL,"Chambers County, AL",Alabama,1,17,161534,34612,23226,1.16%,24.74%,74.09%,80.30%,77.10%,80.30%,72.70%
01019,AL,"Cherokee County, AL",Alabama,1,19,161535,25069,23948,7.56%,10.94%,81.51%,89.40%,82.90%,89.40%,78.20%
01021,AL,"Chilton County, AL",Alabama,1,21,161536,45140,31659,0.25%,12.07%,87.68%,72.70%,73.00%,72.70%,69.20%
01023,AL,"Choctaw County, AL",Alabama,1,23,161537,12669,12058,0.04%,3.57%,96.38%,34.80%,50.90%,36.40%,48.70%
01025,AL,"Clarke County, AL",Alabama,1,25,161538,23058,19039,0.00%,11.29%,88.71%,48.50%,57.40%,48.50%,55.60%
01027,AL,"Clay County, AL",Alabama,1,27,161539,14209,11552,0.03%,3.83%,96.14%,100.00%,88.60%,98.50%,83.90%
01029,AL,"Cleburne County, AL",Alabama,1,29,161540,15144,12001,0.00%,4.31%,95.69%,97.00%,86.70%,97.00%,82.30%
